society,property_type,price,price_per_sqft,areaWithType,area,bedRoom,bathroom,balcony,additionalRoom,floorNum,facing,agePossession,nearbyLocations,furnishDetails,features,property_id,sector
independent,house,1.45,557.0,Plot area 26000(2415.48 sq.m.),26032.0,4,4,2,"pooja room,servant room",2.0,East,5 to 10 Year Old,"['Chintapurni Mandir', 'State bank ATM', 'Prateek Nursing Home And Polyclinic', 'Kr Dental Hub', 'Dr. Hitesh Dawar', 'Shree Krishna Hospital Gurgaon', 'Sneh Hospital Gurgaon', 'Jain Sant Phool Chand Ji Charitable Hospital', 'Sarvodya Hospital', 'Bhardwaj Hospital', 'Dr. Ashok Jain', 'Dr. Sindhu Clinic', 'Dr. Mittal Clinic', 'Jiya Clinic', 'Gurgaon Eye Centre', 'Esic Hospital Gurugram', 'Pearl Dental Clinic', 'Yashroop Medical Centre', ""Dr. Anurag's Child Care Clinic"", 'R K Hospital Gurgaon', 'Taneja Hospital', 'Aryan Hospital', 'D.R. Rajnis Gupta Clinic', 'Chirag Hospital Pvt. Ltd', 'Geeta Nursing Home Gurgaon', 'Sparsh Hospital Gurgaon', 'Ravi Clinic and Health Care Centre', 'Bhatnagar Maternity and Nursing Home', 'Chiranjiv Hospital', 'Dr. Agya Ram Sharma Clinic', 'GH Gurgaon', 'Dr. Madan Clinic', 'Dev Man Kathuria Clinic', 'Bindal Clinic', 'Dr. Sarvejeet Singh', 'Swastik Maternity and Medical Centre', 'Centre For Sight Gurgaon New Railway Road', 'M.S Hospital', 'My Care Clinic', 'Indian bank', 'Kotak bank', 'Hdfc bank', 'State bank of india', 'Pizza Hut', 'St. Michaels Sr. Sec. School', 'Dronacharya Government College', 'Gurgaon railway station', 'Gurgaon railway station', 'Gurgaon railway station']","['6 Fan', '1 Exhaust Fan', '2 Geyser', '2 Wardrobe', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Separate entry for servant room', 'No open drainage around', 'Park', 'Recently Renovated', 'Visitor Parking', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Waste Disposal']",,sector 3
sare crescent parc,flat,0.82,5384.0,Built Up area: 1523 (141.49 sq.m.),1523.0,3,3,3+,not available,12.0,West,undefined,,"['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,T68022426,sector 92
tulip violet,flat,1.4,8920.0,Super Built up area 1568(145.67 sq.m.),1570.0,3,3,1,pooja room,12.0,East,1 to 5 Year Old,"['Airia Mall Sector 68', 'Southern Peripheral Road', 'Golf Course Extension Rd', 'Imperio School', 'DPG Institute of Technology', 'Ektaa Hospitals', 'Indira Gandhi International Airport', 'Vipul Trade Business Centre', 'Radisson Hotel Gurugram', 'SkyJumper Trampoline Park']","['1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Natural Light', 'Airy Rooms', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",D69354824,sector 69
vatika city homes,flat,1.0,5747.0,Super Built up area 1740(161.65 sq.m.),1740.0,3,3,2,store room,2.0,South-East,1 to 5 Year Old,"['Kisan Mandi', 'Vatika City Centre', 'Manesar Toll Plaza', 'Sri Chaitanya School', 'Discovery Montessori Preschool', 'Vatika Lifestyle Nursery School', 'Global Healthcare Hospital', 'Badsa Ams Hospital', 'Miracles Apollo Hospital', 'Genesis Hospital', 'Inox Cinema', 'Football ground', 'IndianOil', 'IGL CNG Station', 'JSA Helipad']","['3 Wardrobe', '5 Fan', '1 Exhaust Fan', '2 Geyser', '7 Light', '1 Chimney', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",W69591392,sector 83
palam vihar extension west zone rwa,house,0.35,6481.0,Plot area 600(55.74 sq.m.)Carpet area: 540 sq.ft. (50.17 sq.m.),540.0,2,2,0,not available,1.0,North-East,0 to 1 Year Old,"['Palam triangle', 'HUDA Sector 23 Market', 'Palam Vihar Vyapar kendra', 'Ram Mandir', 'Sheetla Mata Mandir', 'State bank of india ATM', 'Hdfc bank ATM', 'Hsbc bank ATM', ""DR KAPOOR'S Dental Care and Implant Centre"", 'Metro Hospital and Heart Institute Gurgaon', 'Kalyan Hospital Gurgaon', 'Apollo Cradle Hospital Gurgaon', ""Dr. Anurag's Child Care Clinic"", 'Kishor Clinic', 'Jeevan Jyoti Hospital Gurgaon', 'Sheetla Clinic', 'Jiya Clinic', 'Dr. Mittal Clinic', 'Yashroop Medical Centre', 'Children Hospital', 'Dr. Tomar Clinic', 'Dr. Babita Sharma', 'Ansals Plaza above ground car parking', 'Ansals plaza underground car parking', 'HUDA sector 23 parking', 'Punjab national bank', 'Axis bank', 'Oriental bank of commerce', 'Catholic syrian bank', 'Karur vysay bank', 'Oriental bank of commerce', 'Hdfc bank', 'Icici bank', 'Big Cinemas', ""McDonald's"", 'Moti Mahal', 'Pind Baluchi', 'Pizza Hut', ""Domino's Pizza"", 'Cafe Coffee Day', 'Om Sweets', 'Cafe Coffee Day', 'THE NORTHCAP UNIVERSITY', 'Masti ki Pathshala Teach India', 'Swiss Cottage school', 'Chiranjiv Bharati School', 'Lieutenant Atul Kataria School', 'Palam vihar railway station']",,,,sector 110
shapoorji pallonji joyville gurugram,flat,0.95,10383.0,Built Up area: 915 (85.01 sq.m.)Carpet area: 675 sq.ft. (62.71 sq.m.),915.0,2,2,2,not available,14.0,,undefined,,"['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,P69078414,sector 102
smart world gems,flat,1.16,10500.0,Super Built up area 1103(102.47 sq.m.),1105.0,3,2,3,study room,1.0,,Within 6 months,"['Sant Soordas Sihi Metro Station', 'Airia Mall', 'Dwarka Expressway', 'Pataudi Road', 'NH-8', 'KMP Expressway', 'RPS International School', 'Genesis Hospital Sector 84', 'Gurgaon Railway Station', 'Vatika Business Park Sector 49', 'Holiday Inn Gurugram Sector 90', 'De Adventure Amusement Park', 'National Tennis Academy Sector 98', 'IMT Manesar']",,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",P69352646,sector 89
emaar mgf the palm drive,flat,1.51,15130.0,Super Built up area 1200(111.48 sq.m.)Built Up area: 1188 sq.ft. (110.37 sq.m.)Carpet area: 998 sq.ft. (92.72 sq.m.),998.0,2,2,2,pooja room,5.0,North,1 to 5 Year Old,"['Sector 55-56 Rapid Metro Station', 'HUB 66', 'NH 248A', 'Hasanpur', 'Ashoka International School', 'Gurugram University', 'Park Hospital', 'Indira Gandhi International Airport', 'Sealdah', 'Vatika Business Centre', 'The Oberoi Gurgaon', 'De Adventure Park', 'DLF Golf and Country Club', 'Tau DeviLal Sports Complex']","['3 Wardrobe', '5 Fan', '1 Exhaust Fan', '4 Geyser', '6 Light', '5 AC', '1 Curtains', 'No Bed', 'No Chimney', 'No Dining Table', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'Piped-gas', 'Swimming Pool', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Club house / Community Center', 'Water softening plant']",C69770156,sector 66
ramprastha skyz,flat,1.25,7250.0,Built Up area: 1725 (160.26 sq.m.),1724.0,3,3,3+,not available,2.0,North-East,Jun 2024,,"['5 AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Lift(s)', 'Park']",R68021756,sector 37
alpha corp gurgaonone,flat,0.85,6692.0,Super Built up area 1270(117.99 sq.m.)Carpet area: 1050 sq.ft. (97.55 sq.m.),1270.0,2,2,3,not available,6.0,West,1 to 5 Year Old,"['Delhi Public School', 'Raheja Market', 'Sapphire Mall', 'INXT High Street', 'Cambridge Pre-School', 'Euro Int. School', 'Genesis Hospital', 'HDFC Bank', 'Society Park', 'Dishoom Cinemas']","['2 Wardrobe', '4 Fan', '1 Exhaust Fan', '2 Geyser', '7 Light', '1 Modular Kitchen', '1 Curtains', '1 Chimney', 'No AC', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Park', 'Visitor Parking']",I69430670,sector 84
the lions cghs,flat,2.0,8333.0,Super Built up area 2400(222.97 sq.m.)Carpet area: 2100 sq.ft. (195.1 sq.m.),2400.0,4,4,3,others,8.0,West,1 to 5 Year Old,"['Sector metro station', 'Sector metro station', 'Sector 54 chowk metro station', 'Sanatan Dharm Mandir', 'Radhakrishna Shani Mandir', 'State bank ATM', 'Icici bank ATM', 'Icici bank ATM', 'Citi bank ATM', 'Indusind bank ATM', 'Surgicare Hospital Gurgaon', 'Kriti Hospital', 'Anand Hospital Gurgaon', 'pracksht hospital', 'Arunodaya Deseret Eye Hospital', 'HUDA Office Complex', 'Medisca', 'Apollo Pharmacy', 'Intellion Park', 'International Tech Park', 'Heera Fuel Station', 'HCG CNG Station', 'Hdfc bank and atm', 'State bank of india', 'Kotak mahindra bank', 'Indusind bank', 'Axis bank', 'Icici bank', 'Hdfc bank', 'Hdfc bank & atm', 'Hdfc bank', '222', 'Pizza Hut', 'Wat-a-Burger', 'Burger Singh', 'Bikanerwala', 'Naivedyam Restaurant', 'Clock tower', 'Starbucks', ""Carl's Jr."", 'Cafe Tonini', 'Sagar Ratna', 'IILM', 'Iilm University', 'Sushant College of Arts & Architecture', 'Ansal Institute of Technology', 'Suncity School']","['4 Wardrobe', '5 Fan', '1 Exhaust Fan', '4 Geyser', '10 Light', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",O69575176,sector 56
m3m soulitude,flat,1.42,9978.0,Carpet area: 1423 (132.2 sq.m.),1423.0,3,3,2,not available,3.0,,Within 6 months,"['Vatika Town Square-INXT', 'Sector 86 Road', 'Dwarka Expy', 'Delh-Ajmer Expy', 'Euro International School', 'Gurugram University', 'Genesis Hospital', 'Indira Gandhi Intl Airport', 'Garhi Harsaru Junction']",,"['Intercom Facility', 'Lift(s)', 'Park']",F69673370,sector 89
independent,house,10.0,30864.0,Plot area 360(301.01 sq.m.),3240.0,6,6,3+,"pooja room,study room,servant room,store room",4.0,North-East,5 to 10 Year Old,"['Huda city centre metro station', 'Axis bank ATM', 'State bank of india ATM', 'Icici ATM', 'Citi bank ATM', 'Axis bank ATM', 'Hdfc ATM', 'Icici bank ATM', 'Standard chartered ATM', 'Hdfc bank ATM', 'Hdfc ATM', 'Axis bank ATM', 'Dispencery', 'Shivam Hospital Gurgaon', 'Fortis Memorial Research Institute Fortis Vivekanand Hospital', 'Dr. Naval Mendiratta', 'Sukhmani Hospital Pvt. Ltd', 'Gupta', 'Arihant Hospital', 'Centre For Sight Gurgaon Sector 29', 'Dr. Kutbuddin Akbary', ""DR AKRAM JAWED'S THE UPPER LIMB CLINIC"", 'Pernod Ricard Charitable Dispensary', 'City Medical', 'Gardian Pharmacy', 'Gardian Pharmacy', 'Bharat petroleum', 'IBP Petrol Pump', 'Hdfc bank', 'Hdfc bank', 'Icici bank', 'Raj Restaurant', 'Fast food', 'Fast Food', 'Om Sweets', 'Bar and restaurant', 'Cafe Coffee Day', 'PWO house', '32nd Milestone', 'St. Angels Jr', 'St. Angels Sr', 'School of Inspired Leadership SOIL', 'Manav Rachna School', 'Amity Global School', 'CR Model Public School', 'Stones2milestones', 'Delhi Public School Primary Section', 'Manav Rachna Swimming Pool']","['4 Bed', '5 Wardrobe', '1 Water Purifier', '7 AC', '5 TV', '1 Modular Kitchen', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No Washing Machine']","['Feng Shui / Vaastu Compliant', 'Centrally Air Conditioned', 'High Ceiling Height', 'Separate entry for servant room', 'Park', 'Bank Attached Property', 'Natural Light', 'Airy Rooms', 'Internet/wi-fi connectivity', 'Spacious Interiors', 'Club house / Community Center']",,sector 45
tulip violet,flat,1.9,9452.0,Super Built up area 2010(186.74 sq.m.),2010.0,4,4,2,not available,0.0,South-West,1 to 5 Year Old,"['Airia Mall Sector 68', 'Southern Peripheral Road', 'Golf Course Extension Rd', 'Imperio School', 'DPG Institute of Technology', 'Ektaa Hospitals', 'Indira Gandhi International Airport', 'Vipul Trade Business Centre', 'Radisson Hotel Gurugram', 'SkyJumper Trampoline Park']","['1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",C69393158,sector 69
sonata group housing gh 24,flat,1.65,5892.0,Carpet area: 2800 (260.13 sq.m.),2800.0,4,3,3,servant room,8.0,,0 to 1 Year Old,"['Pooja Clinic', 'Dr. Sahil Clinic', 'Prakash Hospital', 'Shri Rade Clinic', 'Yadav Dental & Eye Care', 'Dental Hospital', 'Petrol pump Maitri motors', 'Petrol Pump', 'Petrol Pump Indian Oil', ""McDonald's"", ""McDonald's"", 'Rao Dhaba']",,"['Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking']",P68194060,sector 1
m3m soulitude,flat,1.32,16923.0,Carpet area: 780 (72.46 sq.m.),780.0,3,3,3,not available,1.0,,Dec 2023,"['Vatika Town Square-INXT', 'Sector 86 Road', 'Dwarka Expy', 'Delh-Ajmer Expy', 'Euro International School', 'Gurugram University', 'Genesis Hospital', 'Indira Gandhi Intl Airport', 'Garhi Harsaru Junction']",,"['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Piped-gas', 'Internet/wi-fi connectivity', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']",M68320998,sector 89
satya the hermitage,flat,0.93,6404.0,Carpet area: 1452 (134.9 sq.m.),1452.0,2,3,3,servant room,3.0,East,1 to 5 Year Old,"['Metro Hospital, Palam Vihar', 'Huda Metro Station', 'Gurgaon Dreamz Mall', 'HUDA Market, Sector 14', 'Dwarka Expressway', 'Delhi Jaipur Expressway', 'Hero Honda Chowk', 'S N International School', 'The NorthCap University', 'Indira Gandhi International Airport', 'Gurgaon Railway Station', 'infinity Business Park', 'InfinityS Badminton Academy', 'F9 Go Karting Gurgaon', 'SkyJumper Trampoline Park Gurgaon']","['6 Fan', '1 Exhaust Fan', '1 Chimney', '4 Curtains', '1 Modular Kitchen', '4 Wardrobe', 'No AC', 'No Bed', 'No Dining Table', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",G61210394,sector 103
hsiidc sidco shivalik apartments,flat,0.48,3840.0,Super Built up area 1250(116.13 sq.m.)Carpet area: 770 sq.ft. (71.54 sq.m.),1250.0,2,2,3,not available,7.0,South,5 to 10 Year Old,"['Pooja Clinic', 'Dr. Sahil Clinic', 'Prakash Hospital', 'Shri Rade Clinic', 'Yadav Dental & Eye Care', 'Dental Hospital', 'Petrol pump Maitri motors', 'Petrol Pump', 'Petrol Pump Indian Oil', ""McDonald's"", ""McDonald's"", 'Rao Dhaba']",,"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'Recently Renovated', 'Bank Attached Property', 'Piped-gas', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Waste Disposal', 'Rain Water Harvesting']",G70129192,sector 1
godrej frontier,flat,1.1,5705.0,Super Built up area 1928(179.12 sq.m.)Built Up area: 1580 sq.ft. (146.79 sq.m.)Carpet area: 1391 sq.ft. (129.23 sq.m.),1928.0,3,3,3,servant room,8.0,North-West,5 to 10 Year Old,"['Pooja Clinic', 'Dr. Sahil Clinic', 'Prakash Hospital', 'Shri Rade Clinic', 'Petrol Pump', 'Petrol Pump Indian Oil', 'Petrol pump Maitri motors', 'Petrol Pump Indian Oil', 'Rao Dhaba', ""McDonald's"", ""McDonald's""]",,"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Recently Renovated', 'Bank Attached Property', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']",Q69444740,sector 80
signature global solera,flat,0.27,5521.0,Carpet area: 489 (45.43 sq.m.),489.0,2,2,2,not available,0.0,North-East,1 to 5 Year Old,"['Gurgaon Dreamz Mall', 'Dwarka Expressway', ""Colonel's Central Academy"", 'The NorthCap University', 'Chirag Hospital', 'Indira Gandhi International Airport', 'Trident Hotel Gurgaon', 'Fun N Food Village', 'DLF Golf and Country Club', 'F9 Go Karting Gurgaon', 'SkyJumper Trampoline Park Gurgaon']",,"['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Park', 'Natural Light', 'Airy Rooms', 'Fitness Centre / GYM', 'Waste Disposal']",X69217210,sector 107
independent,house,0.07,2525.0,Plot area 33(27.59 sq.m.),277.0,1,1,0,not available,1.0,,1 to 5 Year Old,,[],,,sohna
professors enclave cghs,flat,1.55,7750.0,Super Built up area 2000(185.81 sq.m.),2000.0,3,3,3+,servant room,6.0,East,5 to 10 Year Old,"['Sector metro station', 'Sector metro station', 'Sector 54 chowk metro station', 'Sanatan Dharm Mandir', 'Radhakrishna Shani Mandir', 'State bank ATM', 'Icici bank ATM', 'Icici bank ATM', 'Citi bank ATM', 'Indusind bank ATM', 'Surgicare Hospital Gurgaon', 'Kriti Hospital', 'Anand Hospital Gurgaon', 'pracksht hospital', 'Arunodaya Deseret Eye Hospital', 'HUDA Office Complex', 'Medisca', 'Apollo Pharmacy', 'Intellion Park', 'International Tech Park', 'Heera Fuel Station', 'HCG CNG Station', 'Hdfc bank and atm', 'State bank of india', 'Kotak mahindra bank', 'Indusind bank', 'Axis bank', 'Icici bank', 'Hdfc bank', 'Hdfc bank & atm', 'Hdfc bank', '222', 'Pizza Hut', 'Wat-a-Burger', 'Burger Singh', 'Bikanerwala', 'Naivedyam Restaurant', 'Clock tower', 'Starbucks', ""Carl's Jr."", 'Cafe Tonini', 'Sagar Ratna', 'IILM', 'Iilm University', 'Sushant College of Arts & Architecture', 'Ansal Institute of Technology', 'Suncity School']","['3 Wardrobe', '6 Fan', '1 Exhaust Fan', '2 Geyser', '10 Light', '1 Curtains', 'No AC', 'No Bed', 'No Chimney', 'No Dining Table', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",E68625668,sector 56
godrej air,flat,1.83,10005.0,Carpet area: 1829 (169.92 sq.m.),1829.0,3,3,3+,not available,18.0,,Mar 2024,"['Sapphire 83 Mall', 'Sector 86 Road', 'Dwarka Expy', 'Euro International School', 'Sushant University', 'Shri Balaji’s Multispeciality Hospital', 'Indira Gandhi Intl Airport', 'Garhi Harsaru Junction']","['1 Exhaust Fan', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Lift(s)', 'Centrally Air Conditioned', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Water softening plant']",I68755244,sector 85
